cluster_id,C_albicans,C_glabrata,K_lactis,S_cerevisiae,unknown,species_count
Cluster123,0,0,0,1,0,1
Cluster1230,0,1,0,0,0,1
Cluster1231,0,0,0,1,0,1
Cluster1232,1,1,1,1,0,4
Cluster1233,1,0,0,0,0,1
Cluster1234,1,1,1,1,0,4
Cluster1235,1,1,1,1,0,4
Cluster1236,1,0,0,0,0,1
Cluster1237,1,1,1,1,0,4
Cluster1238,0,1,0,1,0,2
Cluster1239,0,1,0,0,0,1
Cluster124,0,1,0,0,0,1
Cluster1240,0,0,1,0,0,1
Cluster1241,0,1,0,1,0,2
Cluster1242,0,1,0,1,0,2
Cluster1243,0,0,1,1,0,2
Cluster1244,0,0,1,0,0,1
Cluster1245,0,0,1,0,0,1
Cluster1246,0,1,1,0,0,2
Cluster1247,1,0,0,0,0,1
Cluster1248,0,0,0,1,0,1
Cluster1249,1,1,1,1,0,4
Cluster125,0,0,0,1,0,1
Cluster1250,1,1,1,1,0,4
Cluster1251,1,1,1,1,0,4
Cluster1252,1,1,1,1,0,4
Cluster1253,1,1,1,1,0,4
Cluster1254,1,0,1,0,0,2
Cluster1255,1,1,1,1,0,4
Cluster1256,1,1,1,1,0,4
Cluster1257,1,1,1,1,0,4
Cluster1258,1,1,1,1,0,4
Cluster1259,1,0,0,0,0,1
Cluster126,0,0,0,1,0,1
Cluster1260,0,1,1,1,0,3
Cluster1261,0,1,1,1,0,3
Cluster1262,0,1,0,1,0,2
Cluster1263,0,1,1,1,0,3
Cluster1264,1,0,0,0,0,1
Cluster1265,0,0,0,1,0,1
Cluster1266,0,0,0,1,0,1
Cluster1267,0,0,0,1,0,1
Cluster1268,0,0,1,1,0,2
Cluster1269,0,1,1,0,0,2
Cluster127,0,0,0,1,0,1
Cluster1270,0,1,0,0,0,1
Cluster1271,0,1,1,1,0,3
Cluster1272,1,0,0,0,0,1
Cluster1273,1,0,0,0,0,1
Cluster1274,1,0,0,0,0,1
Cluster1275,0,1,1,1,0,3
Cluster1276,1,0,0,0,0,1
Cluster1277,1,0,0,0,0,1
Cluster1278,1,0,0,0,0,1
Cluster1279,1,0,0,0,0,1
Cluster128,0,0,0,1,0,1
Cluster1280,1,0,0,0,0,1
Cluster1281,1,1,1,1,0,4
Cluster1282,1,1,1,1,0,4
Cluster1283,1,1,1,1,0,4
Cluster1284,1,1,1,1,0,4
Cluster1285,1,1,1,1,0,4
Cluster1286,1,0,1,0,0,2
Cluster1287,1,1,1,1,0,4
Cluster1288,1,0,0,1,0,2
Cluster1289,1,1,1,1,0,4
Cluster129,1,0,0,0,0,1
Cluster1290,1,0,1,0,0,2
Cluster1291,1,1,1,1,0,4
Cluster1292,1,1,1,1,0,4
Cluster1293,1,1,1,1,0,4
Cluster1294,1,1,1,1,0,4
Cluster1295,1,1,1,1,0,4
Cluster1296,1,1,1,1,0,4
Cluster1297,1,1,1,1,0,4
Cluster1298,1,1,1,1,0,4
Cluster1299,1,1,1,1,0,4
Cluster13,0,0,0,1,0,1
Cluster130,0,0,0,0,3,1
Cluster1300,1,1,1,1,0,4
Cluster1301,1,0,0,0,0,1
Cluster1302,0,0,1,0,0,1
Cluster1303,0,0,0,1,0,1
Cluster1304,1,0,0,0,0,1
Cluster1305,0,1,0,0,0,1
Cluster1306,0,0,0,1,0,1
Cluster1307,1,0,0,0,0,1
Cluster1308,1,0,0,0,0,1
Cluster1309,0,1,0,1,0,2
Cluster131,0,0,0,1,0,1
Cluster1310,0,1,0,1,0,2
Cluster1311,0,0,1,0,0,1
Cluster1312,0,0,1,0,0,1
Cluster1313,0,1,0,1,0,2
Cluster1314,0,1,0,1,0,2
Cluster1315,1,0,0,0,0,1
Cluster1316,1,0,0,0,0,1
Cluster1317,1,0,0,0,0,1
Cluster1318,0,1,1,1,0,3
Cluster1319,1,0,0,0,0,1
Cluster132,0,2,0,2,0,2
Cluster1320,1,0,0,0,0,1
Cluster1321,1,0,0,0,0,1
Cluster1322,1,0,0,0,0,1
Cluster1323,1,0,0,0,0,1
Cluster1324,1,1,1,1,0,4
Cluster1325,1,1,1,1,0,4
Cluster1326,0,0,0,1,0,1
Cluster1327,1,0,0,0,0,1
Cluster1328,1,0,0,0,0,1
Cluster1329,0,0,0,0,1,1
Cluster133,1,1,0,1,0,3
Cluster1330,1,0,0,0,0,1
Cluster1331,1,1,1,2,0,4
Cluster1332,1,1,1,1,0,4
Cluster1333,1,1,0,0,0,2
Cluster1334,2,1,1,1,0,4
